Op,FName,Index,GMS v12,,GMS v83,,GMS v87,,GMS v92,,GMS v95,,GMS v111,,JMS v185
,,,0x000,,0x000,,0x000,,0x000,,0x000,202,0x0CA,,0x000
,,,0x000,,0x000,,0x000,,0x000,,0x000,203,0x0CB,,0x000
FOLLOW_CHARACTER_WITHRDAW,,,0x000,,0x000,,0x000,,0x000,,0x000,204,0x0CC,117,0x075
,,59,0x03B,,0x000,,0x000,,0x000,,0x000,205,0x0CD,,0x000
n/a,n/a,60,0x03C,,0x000,,0x000,134,0x086,135,0x087,206,0x0CE,,0x000
USE_BACKGROUND_MUSIC_ITEM,,,0x000,,0x000,,0x000,,0x000,,0x000,207,0x0CF,115,0x073
PQ_SELECT_REWARD,CUIPQReward::SelectReward,,0x000,,0x000,,0x000,,0x000,136,0x088,208,0x0D0,,0x000
PQ_REQUEST_REWARD,CUIPQReward::RequestReward,,0x000,,0x000,,0x000,,0x000,137,0x089,209,0x0D1,,0x000
FOLLOW_REQUEST_APPLY,"CWvsContext::SendFollowRequestApply
CWvsContext::OnSetPassenserRequest",,0x000,,0x000,,0x000,135,0x087,138,0x08A,210,0x0D2,118,0x076
,,,0x000,,0x000,,0x000,,0x000,,0x000,,0x000,,0x000
,,,0x000,,0x000,,0x000,,0x000,,0x000,,0x000,,0x000
,,,0x000,,0x000,,0x000,,0x000,,0x000,,0x000,,0x000
,,,0x000,,0x000,,0x000,,0x000,,0x000,,0x000,,0x000
,,,0x000,,0x000,,0x000,,0x000,,0x000,,0x000,,0x000
,,,0x000,,0x000,,0x000,,0x000,,0x000,,0x000,,0x000
,,,0x000,,0x000,,0x000,,0x000,,0x000,,0x000,,0x000
,,,0x000,,0x000,,0x000,,0x000,,0x000,,0x000,,0x000
,,,0x000,,0x000,,0x000,,0x000,,0x000,,0x000,,0x000
ADMIN_CHAT,CField::SendChatMsgSlash,,0x000,118,0x076,124,0x07C,136,0x088,139,0x08B,,0x000,120,0x078
MULTI_CHAT,CUIStatusBar::SendGroupMessage,61,0x03D,119,0x077,125,0x07D,137,0x089,140,0x08C,221,0x0DD,121,0x079
WHISPER,"CField::SendLocationWhisper
CField::SendChatMsgWhisper
CField::OnWhisper",62,0x03E,120,0x078,126,0x07E,138,0x08A,141,0x08D,222,0x0DE,122,0x07A
SPOUSE_CHAT,CUIStatusBar::SendCoupleMessage,,0x000,121,0x079,127,0x07F,139,0x08B,142,0x08E,223,0x0DF,,0x000
MESSENGER,"CFadeWnd::SendCloseMessage
CUIMessenger::OnDestroy
CUIMessenger::OnInvite
CUIMessenger::Update
CUIMessenger::SendInviteMsg
CUIMessenger::OnCreate
CUIMessenger::ProcessChat",63,0x03F,122,0x07A,128,0x080,140,0x08C,143,0x08F,224,0x0E0,123,0x07B
PLAYER_INTERACTION,"CCashTradingRoomDlg::SetRet
CCashTradingRoomDlg::OnTrade
CCashTradingRoomDlg::PutItem
CCashTradingRoomDlg::PutMoney
CCashTradingRoomDlg::Trade
CEntrustedShopDlg::OnCorrectSSN2
CEntrustedShopDlg::OnGoOut
CEntrustedShopDlg::OnArrange
CEntrustedShopDlg::OnWithdrawMoney
CEntrustedShopDlg::OnBlackList
CEntrustedShopDlg::OnVisitList
CEntrustedShopDlg::SetRet
CEntrustedShopDlg::AddBlackList
CEntrustedShopDlg::DeleteBlackList
CField::SendInviteTradingRoomMsg
CField::AddBlackList
CField::DeleteBlackList
CMemoryGameDlg::SendTurnUpCard
CMemoryGameDlg::OnClickStartButton
CMemoryGameDlg::OnTieRequest
CMemoryGameDlg::SendClaimGiveUp
CMemoryGameDlg::SendTieRequest
CMemoryGameDlg::OnClickReadyButton
CMemoryGameDlg::OnClickBanButton
CMemoryGameDlg::OnClickEndButton
CMemoryGameDlg::OnEnterResult
CMemoryGameDlg::Update
CMiniRoomBaseDlg::SendInviteResult
CMiniRoomBaseDlg::SendCashInviteResult
CMiniRoomBaseDlg::OnCheckSSN2Static
CMiniRoomBaseDlg::CheckAndSendChat
COmokDlg::PutStoneChecker
COmokDlg::OnClickStartButton
COmokDlg::OnTieRequest
COmokDlg::OnRetreatRequest
COmokDlg::SendClaimGiveUp
COmokDlg::SendTieRequest
COmokDlg::SendRetreatRequest
COmokDlg::OnClickReadyButton
COmokDlg::OnClickBanButton
COmokDlg::OnClickEndButton
COmokDlg::OnEnterResult
COmokDlg::Update
CPersonalShopDlg::SetRet
CPersonalShopDlg::OnCorrectSSN2
CPersonalShopDlg::MoveItemToInventory
CPersonalShopDlg::CheckCashItemInList
CPersonalShopDlg::BuyItem
CPersonalShopDlg::DeliverBlackList
CPersonalShopDlg::OnClickBanButton
CPersonalShopDlg::Update
CPersonalShopDlg::PutItem
CTradingRoomDlg::SetRet
CTradingRoomDlg::OnTrade
CTradingRoomDlg::PutItem
CTradingRoomDlg::PutMoney
CTradingRoomDlg::Trade
CUserLocal::HandleRButtonClk
CUserLocal::HandleLButtonDblClk
CWvsContext::SendCreateMiniGameRequest
CWvsContext::SendOpenShopRequest
CWvsContext::OnEntrustedShopCheckResult",64,0x040,123,0x07B,129,0x081,141,0x08D,144,0x090,225,0x0E1,124,0x07C
PARTY_OPERATION,"CField::SendCreateNewPartyMsg
CField::SendWithdrawPartyMsg
CField::SendKickPartyMsg
CField::SendChangePartyBossMsg
CField::SendJoinPartyMsg
CWvsContext::OnPartyResult",65,0x041,124,0x07C,130,0x082,142,0x08E,145,0x091,226,0x0E2,125,0x07D
PARTY_RESULT,"CFadeWnd::SendCloseMessage
CUIFadeYesNo::OnButtonClicked
CWvsContext::OnPartyResult",,0x000,,0x000,131,0x083,143,0x08F,146,0x092,227,0x0E3,126,0x07E
DENY_PARTY_REQUEST,,66,0x042,125,0x07D,,0x000,,0x000,,0x000,228,0x0E4,,0x000
EXPEDITION_OPERATION,"ExpeditionIntermediary::SendExpChangeMasterPacket
ExpeditionIntermediary::SendExpChangeBossPacket
ExpeditionIntermediary::SendExpRelocatePartyPacket
ExpeditionIntermediary::SendExpKickPacket
ExpeditionIntermediary::SendExpCreatePacket
ExpeditionIntermediary::SendWithdrawPacket
ExpeditionIntermediary::SendResponseInvitePacket
ExpeditionIntermediary::SendExpInvitePacket
ExpeditionIntermediary::OnPacketExpNoti_Invite",,0x000,,0x000,132,0x084,144,0x090,147,0x093,229,0x0E5,127,0x07F
,"CUIFadeYesNo::SendCloseMessage
CUIFadeYesNo::OnButtonClicked
TabPartyAdver::SendPartyAdverRequestPacket
TabPartyAdver::RequestAdverRemoveFromNotiList
TabPartyAdver::SendAdverDeletePacket
TabPartyAdver::SendPartyRegistCommitPacket
TabPartyAdver::SendPartyApplyPacketTo
CWvsContext::OnPartyResult",,0x000,,0x000,133,0x085,145,0x091,148,0x094,230,0x0E6,128,0x080
GUILD_OPERATION,"CUIFadeYesNo::OnButtonClicked
CField::SendCreateGuildAgreeMsg
CField::SendSetMemberGradeMsg
CField::SendSetGuildMarkMsg
CField::InputGuildName
CField::SendInviteGuildMsg
CField::SendWithdrawGuildMsg
CField::SendKickGuildMsg
CField::SendSetGradeNameMsg
CField::SendSetGuildNoticeMsg
CWvsContext::OnGuildResult",,0x000,126,0x07E,134,0x086,146,0x092,149,0x095,231,0x0E7,129,0x081
DENY_GUILD_REQUEST,"CFadeWnd::SendCloseMessage
CWvsContext::OnGuildResult",,0x000,127,0x07F,135,0x087,147,0x093,150,0x096,232,0x0E8,130,0x082
ADMIN_COMMAND,"CField::SendChatMsgSlash
CStage::OnSetField
CUserLocal::OnKey",,0x000,128,0x080,136,0x088,148,0x094,151,0x097,233,0x0E9,131,0x083
ADMIN_LOG,CField::SendChatMsgSlash,,0x000,129,0x081,137,0x089,149,0x095,152,0x098,234,0x0EA,132,0x084
BUDDYLIST_MODIFY,"CField::SendDeleteFriendMsg
CField::SendAcceptFriendMsg
CField::SendSetFriendMsg
CWvsContext::LoadFriend",69,0x045,130,0x082,138,0x08A,150,0x096,153,0x099,235,0x0EB,133,0x085
NOTE_ACTION,"CCashShop::OnCashItemResLoadGiftDone
CMemoListDlg::SetRet
CWvsContext::OnMemoNotify_Receive",70,0x046,131,0x083,139,0x08B,151,0x097,154,0x09A,236,0x0EC,134,0x086
n/a,n/a,,0x000,132,0x084,140,0x08C,152,0x098,155,0x09B,237,0x0ED,135,0x087
USE_DOOR,"CField::TryEnterTownPortal
CTownPortalPool::TryEnterTownPortal",71,0x047,133,0x085,141,0x08D,153,0x099,156,0x09C,238,0x0EE,136,0x088
OPEN_GATE,COpenGatePool::TryEnterOpenGate,,0x000,134,0x086,142,0x08E,154,0x09A,157,0x09D,239,0x0EF,162,0x0A2
SLIDE_REQUEST,CField::SendChatMsgSlash,,0x000,,0x000,,0x000,155,0x09B,158,0x09E,240,0x0F0,137,0x089
CHANGE_KEYMAP,"CFuncKeyMappedMan::ChangePetConsumeItemID
CFuncKeyMappedMan::ChangePetConsumeMPItemID
CFuncKeyMappedMan::SaveFuncKeyMap",,0x000,135,0x087,143,0x08F,156,0x09C,159,0x09F,241,0x0F1,138,0x08A
RPS_ACTION,"CRPSGameDlg::OnBtStart
CRPSGameDlg::OnBtContinue
CRPSGameDlg::OnBtRetry
CRPSGameDlg::OnBtExit
CRPSGameDlg::SendSelection
CRPSGameDlg::Update",,0x000,136,0x088,144,0x090,157,0x09D,160,0x0A0,242,0x0F2,139,0x08B
RING_ACTION,"CEngageDlg::SetRet
CWvsContext::SendRingDropRequest
CWvsContext::SendInvitationQuery
CWvsContext::SendEngagementRequest
CWvsContext::SendSendInvitaionRequest
CWvsContext::SendWishListInput
CWvsContext::OnMarriageRequest",,0x000,137,0x089,145,0x091,158,0x09E,161,0x0A1,243,0x0F3,140,0x08C
WEDDING_WISH_LIST_REQUEST,"CWishListGiveDlg::SetRet
CWishListRecvDlg::SetRet
CWishListGiveDlg::SendPutItemRequest
CWishListRecvDlg::SendGetItemRequest",,0x000,138,0x08A,146,0x092,159,0x09F,162,0x0A2,244,0x0F4,141,0x08D
WEDDING_ACTION,CField_Wedding::OnWeddingProgress,,0x000,139,0x08B,147,0x093,160,0x0A0,163,0x0A3,245,0x0F5,,0x000
WEDDING_TALK,CField_Wedding::OnWeddingProgress,,0x000,140,0x08C,148,0x094,161,0x0A1,164,0x0A4,246,0x0F6,,0x000
BOOBY_TRAP_ALERT,CWvsContext::SendBoobyTrapAlert,,0x000,141,0x08D,149,0x095,162,0x0A2,165,0x0A5,,0x000,143,0x08F
,CUIMiniMap::OnMouseButton,,0x000,,0x000,,0x000,163,0x0A3,166,0x0A6,,0x000,144,0x090
ALLIANCE_REQUEST,"CUIFadeYesNo::OnButtonClicked
CTabGuildAlliance::OnGradeChange
CTabGuildAlliance::OnChangeMaster
CTabGuildAlliance::OnWithdraw
CTabGuildAlliance::OnKick
CTabGuildAlliance::OnInvite
CTabGuildAlliance::OnSetNotice
CWndAllianceGrade::OnSaveGradeName
CWvsContext::OnGuildResult
CWvsContext::OnAllianceResult",,0x000,142,0x08E,150,0x096,164,0x0A4,167,0x0A7,247,0x0F7,145,0x091
ALLIANCE_OPERATION,"CFadeWnd::SendCloseMessage
CWvsContext::OnAllianceResult",,0x000,143,0x08F,151,0x097,165,0x0A5,168,0x0A8,248,0x0F8,146,0x092
DENY_ALLIANCE_REQUEST,,,0x000,144,0x090,152,0x098,,0x000,,0x000,249,0x0F9,,0x000
OPEN_FAMILY_PEDIGREE,CWvsContext::SendFamilyChartRequest,,0x000,145,0x091,153,0x099,166,0x0A6,169,0x0A9,250,0x0FA,147,0x093
OPEN_FAMILY,CWvsContext::SendFamilyInfoRequest,,0x000,146,0x092,154,0x09A,167,0x0A7,170,0x0AA,251,0x0FB,148,0x094
ADD_FAMILY,CWvsContext::SendRegisterJunior,,0x000,147,0x093,155,0x09B,168,0x0A8,171,0x0AB,252,0x0FC,149,0x095
SEPARATE_FAMILY_BY_SENIOR,CWvsContext::SendUnregisterJunior,,0x000,148,0x094,156,0x09C,169,0x0A9,172,0x0AC,253,0x0FD,150,0x096
SEPARATE_FAMILY_BY_JUNIOR,CWvsContext::SendUnregisterParent,,0x000,149,0x095,157,0x09D,170,0x0AA,173,0x0AD,254,0x0FE,151,0x097
ACCEPT_FAMILY,CWvsContext::SendFamilyInviteResult,,0x000,150,0x096,158,0x09E,171,0x0AB,174,0x0AE,255,0x0FF,152,0x098
USE_FAMILY,CWvsContext::SendUseFamilyPrivilege,,0x000,151,0x097,159,0x09F,172,0x0AC,175,0x0AF,256,0x100,153,0x099
CHANGE_FAMILY_MESSAGE,CWvsContext::SendSetFamilyPrecept,,0x000,152,0x098,160,0x0A0,173,0x0AD,176,0x0B0,257,0x101,154,0x09A
FAMILY_SUMMON_RESPONSE,CWvsContext::OnFamilySummonRequest,,0x000,153,0x099,161,0x0A1,174,0x0AE,177,0x0B1,258,0x102,155,0x09B
n/a,n/a,,0x000,154,0x09A,162,0x0A2,175,0x0AF,178,0x0B2,259,0x103,,0x000
,,,0x000,,0x000,,0x000,,0x000,,0x000,,0x000,160,0x0A0
,,,0x000,,0x000,,0x000,,0x000,,0x000,,0x000,161,0x0A1
JMS_CONSUME_ITEM,,,0x000,,0x000,,0x000,,0x000,,0x000,,0x000,163,0x0A3
,,,0x000,,0x000,,0x000,,0x000,,0x000,,0x000,164,0x0A4
,,,0x000,,0x000,,0x000,,0x000,,0x000,,0x000,165,0x0A5
BBS_OPERATION,"CUIGuildBBS::SendLoadListRequest
CUIGuildBBS::SendViewEntryRequest
CUIGuildBBS::OnCommentDelete
CUIGuildBBS::OnRegister
CUIGuildBBS::OnComment
CUIGuildBBS::OnDelete",,0x000,155,0x09B,163,0x0A3,176,0x0B0,179,0x0B3,260,0x104,,0x000
ENTER_MTS,CWvsContext::SendMigrateToITCRequest,,0x000,156,0x09C,164,0x0A4,177,0x0B1,180,0x0B4,261,0x105,166,0x0A6
USE_SOLOMON_ITEM,CWvsContext::SendExpUpItemUseRequest,,0x000,157,0x09D,165,0x0A5,178,0x0B2,181,0x0B5,262,0x106,113,0x071
USE_GACHA_EXP,CWvsContext::SendTempExpUseRequest,,0x000,158,0x09E,166,0x0A6,179,0x0B3,182,0x0B6,263,0x107,114,0x072
NEW_YEAR_CARD_REQUEST,"CUIFadeYesNo::OnButtonClicked
CUINewYearCardSenderDlg::_SendNewYearCard",,0x000,159,0x09F,167,0x0A7,180,0x0B4,183,0x0B7,264,0x108,,0x000
MORPH_REQUEST,CUINewYearCardSenderDlg::_SendNewYearCard,,0x000,160,0x0A0,168,0x0A8,181,0x0B5,184,0x0B8,265,0x109,,0x000
CASH_ITEM_GACHAPON_BUTTON,CUICashItemGachapon::OnButtonClicked,,0x000,161,0x0A1,169,0x0A9,182,0x0B6,185,0x0B9,266,0x10A,,0x000
CASH_GACHAPON_BUTTON,CUICashGachapon::OnButtonClicked,,0x000,,0x000,170,0x0AA,183,0x0B7,186,0x0BA,267,0x10B,,0x000
CASHSHOP_SURPRISE,CCashShop::SendChangeMaplePoint,,0x000,,0x000,171,0x0AB,184,0x0B8,187,0x0BB,268,0x10C,167,0x0A7
CLICK_GUIDE,CUserLocal::HandleLButtonDblClk,,0x000,162,0x0A2,172,0x0AC,185,0x0B9,188,0x0BC,269,0x10D,156,0x09C
ARAN_COMBO_COUNTER,CUserLocal::RequestIncCombo,,0x000,163,0x0A3,173,0x0AD,186,0x0BA,189,0x0BD,270,0x10E,157,0x09D
MOB_CRC_KEY_CHANGED_REPLY,CMobPool::OnMobCrcKeyChanged,,0x000,164,0x0A4,174,0x0AE,187,0x0BB,190,0x0BE,,0x000,158,0x09E
REQUEST_SESSION_VALUE,CWvsContext::SendRequestSessionValue,,0x000,,0x000,,0x000,188,0x0BC,191,0x0BF,,0x000,159,0x09F
OP_BOARD_HAS_NEW,CWvsContext::CheckOpBoardHasNew,,0x000,,0x000,175,0x0AF,189,0x0BD,192,0x0C0,,0x000,168,0x0A8
,,,0x000,,0x000,,0x000,,0x000,,0x000,,0x000,,0x000
,,,0x000,,0x000,,0x000,,0x000,,0x000,,0x000,,0x000
,,,0x000,,0x000,,0x000,,0x000,,0x000,,0x000,,0x000
,,,0x000,,0x000,,0x000,,0x000,,0x000,,0x000,,0x000
,,,0x000,,0x000,,0x000,,0x000,,0x000,,0x000,,0x000
,,,0x000,165,0x0A5,,0x000,,0x000,,0x000,,0x000,169,0x0A9
,,,0x000,,0x000,,0x000,,0x000,,0x000,,0x000,,0x000
,,,0x000,,0x000,,0x000,,0x000,,0x000,,0x000,,0x000
,,,0x000,,0x000,,0x000,,0x000,,0x000,,0x000,,0x000
ACCOUNT_MORE_INFO,"CUIAccountMoreInfo::SendLoadAccountMoreInfoRequest
CUIAccountMoreInfo::SendSaveAccountMoreInfoRequest",,0x000,,0x000,176,0x0B0,190,0x0BE,193,0x0C1,283,0x11B,,0x000
FIND_FRIEND,"CUIFindFriend::SendMyInfoRequest
CUIFindFriendDetail::SetDetailInfo
CUIFindFriend::SendSearchRequest",,0x000,166,0x0A6,177,0x0B1,191,0x0BF,194,0x0C2,284,0x11C,,0x000
ASK_AP_SP_EVENT,CUserLocal::OnAskAPSPEvent,,0x000,,0x000,,0x000,192,0x0C0,195,0x0C3,,0x000,,0x000
DRAGON_BALL_BOX_REQUEST,CWvsContext::SendDragonBallBoxRequest,,0x000,,0x000,,0x000,193,0x0C1,196,0x0C4,,0x000,,0x000
DRAGON_BALL_SUMMON_REQUEST,CWvsContext::SendDragonBallSummonRequest,,0x000,,0x000,,0x000,194,0x0C2,197,0x0C5,,0x000,,0x000
n/a,n/a,,0x000,,0x000,178,0x0B2,195,0x0C3,198,0x0C6,,0x000,,0x000
,,,0x000,,0x000,,0x000,,0x000,,0x000,,0x000,,0x000
,,,0x000,,0x000,,0x000,,0x000,,0x000,,0x000,,0x000
MOVE_PET,CVecCtrlPet::EndUpdateActive,74,0x04A,167,0x0A7,179,0x0B3,196,0x0C4,199,0x0C7,291,0x123,170,0x0AA
PET_CHAT,CPet::DoAction,75,0x04B,168,0x0A8,180,0x0B4,197,0x0C5,200,0x0C8,292,0x124,171,0x0AB
PET_COMMAND,CPet::ParseCommand,76,0x04C,169,0x0A9,181,0x0B5,198,0x0C6,201,0x0C9,293,0x125,172,0x0AC
PET_LOOT,CPet::SendDropPickUpRequest,,0x000,170,0x0AA,182,0x0B6,199,0x0C7,202,0x0CA,294,0x126,173,0x0AD
PET_AUTO_POT,CWvsContext::SendStatChangeItemUseRequestByPetQ,,0x000,171,0x0AB,183,0x0B7,200,0x0C8,203,0x0CB,295,0x127,174,0x0AE
PET_EXCLUDE_ITEMS,CPet::SendUpdateExceptionListRequest,,0x000,172,0x0AC,184,0x0B8,201,0x0C9,204,0x0CC,296,0x128,175,0x0AF
n/a,n/a,,0x000,173,0x0AD,185,0x0B9,202,0x0CA,205,0x0CD,297,0x129,176,0x0B0
n/a,n/a,,0x000,174,0x0AE,186,0x0BA,203,0x0CB,206,0x0CE,298,0x12A,177,0x0B1
MOVE_SUMMON,CVecCtrlSummoned::EndUpdateActive,80,0x050,175,0x0AF,187,0x0BB,204,0x0CC,207,0x0CF,299,0x12B,178,0x0B2
SUMMON_ATTACK,"CSummoned::AttackToTargetMob
CSummoned::TryDoingAttackManual
CSummoned::TryDoingTaslaCoilAttack",81,0x051,176,0x0B0,188,0x0BC,205,0x0CD,208,0x0D0,300,0x12C,179,0x0B3
DAMAGE_SUMMON,CSummoned::SetDamaged,82,0x052,177,0x0B1,189,0x0BD,206,0x0CE,209,0x0D1,301,0x12D,180,0x0B4
BEHOLDER,"CSummoned::TryDoingHeal
CSummoned::TryDoingGiveBuff
CSummoned::TryDoingHealingRobot
CSummoned::TryDoingSummon",,0x000,178,0x0B2,190,0x0BE,207,0x0CF,210,0x0D2,302,0x12E,181,0x0B5
SUMMON_REMOVE,CSummoned::SendRemove,,0x000,,0x000,,0x000,208,0x0D0,211,0x0D3,303,0x12F,182,0x0B6
,,,0x000,,0x000,,0x000,,0x000,,0x000,304,0x130,,0x000
n/a,n/a,,0x000,179,0x0B3,191,0x0BF,209,0x0D1,212,0x0D4,,0x000,183,0x0B7
n/a,n/a,,0x000,180,0x0B4,192,0x0C0,210,0x0D2,213,0x0D5,,0x000,184,0x0B8
MOVE_DRAGON,CVecCtrlDragon::EndUpdateActive,,0x000,181,0x0B5,193,0x0C1,211,0x0D3,214,0x0D6,307,0x133,185,0x0B9
n/a,n/a,,0x000,182,0x0B6,194,0x0C2,212,0x0D4,215,0x0D7,,0x000,186,0x0BA
,,,0x000,,0x000,,0x000,,0x000,,0x000,,0x000,,0x000
,,,0x000,,0x000,,0x000,,0x000,,0x000,,0x000,,0x000
,,,0x000,,0x000,,0x000,,0x000,,0x000,311,0x137,,0x000
,,,0x000,,0x000,,0x000,,0x000,,0x000,,0x000,,0x000
,,,0x000,,0x000,,0x000,,0x000,,0x000,,0x000,,0x000
,,,0x000,,0x000,,0x000,,0x000,,0x000,,0x000,,0x000
,,,0x000,,0x000,,0x000,,0x000,,0x000,315,0x13B,,0x000
,,,0x000,,0x000,,0x000,,0x000,,0x000,316,0x13C,,0x000
,,,0x000,,0x000,,0x000,,0x000,,0x000,317,0x13D,,0x000
,,,0x000,,0x000,,0x000,,0x000,,0x000,318,0x13E,,0x000
,,,0x000,,0x000,,0x000,,0x000,,0x000,,0x000,,0x000
CHANGE_QUICKSLOT,CQuickslotKeyMappedMan::SaveQuickslotKeyMap,,0x000,183,0x0B7,195,0x0C3,213,0x0D5,216,0x0D8,320,0x140,187,0x0BB
,CUserLocal::UpdatePassiveSkillData,,0x000,184,0x0B8,196,0x0C4,214,0x0D6,217,0x0D9,321,0x141,188,0x0BC
,"CWvsApp::Run
CWvsContext::UI_Menu",,0x000,185,0x0B9,197,0x0C5,215,0x0D7,218,0x0DA,,0x000,,0x000
,"CUserLocal::TryDoingShootAttack
CUserLocal::TryDoingMagicAttack",,0x000,186,0x0BA,198,0x0C6,216,0x0D8,219,0x0DB,,0x000,,0x000
,,,0x000,,0x000,,0x000,,0x000,,0x000,,0x000,,0x000
USE_PAMS_SONG_REQUEST,CWvsContext::AskWhetherUsePamsSong,,0x000,,0x000,,0x000,217,0x0D9,220,0x0DC,325,0x145,189,0x0BD
,CUIQuestInfoDetail::OnButtonClicked,,0x000,187,0x0BB,199,0x0C7,,0x000,221,0x0DD,,0x000,190,0x0BE
REPEAT_EFFECT_REMOVE_REQ,CUserLocal::SendRepeatEffectRemoveRequest,,0x000,,0x000,,0x000,,0x000,222,0x0DE,,0x000,191,0x0BF
n/a,n/a,,0x000,,0x000,,0x000,218,0x0DA,223,0x0DF,,0x000,,0x000
n/a,n/a,,0x000,,0x000,,0x000,219,0x0DB,224,0x0E0,,0x000,192,0x0C0
n/a,n/a,,0x000,,0x000,,0x000,,0x000,225,0x0E1,,0x000,192,0x0C0
n/a,n/a,,0x000,,0x000,,0x000,,0x000,226,0x0E2,,0x000,193,0x0C1
,,,0x000,,0x000,,0x000,,0x000,,0x000,,0x000,,0x000
,,,0x000,,0x000,,0x000,,0x000,,0x000,,0x000,,0x000
,,,0x000,,0x000,,0x000,,0x000,,0x000,,0x000,,0x000
MOVE_LIFE,CMob::GenerateMovePath,88,0x058,188,0x0BC,200,0x0C8,220,0x0DC,227,0x0E3,335,0x14F,194,0x0C2
AUTO_AGGRO,CMob::ApplyControl,89,0x059,189,0x0BD,201,0x0C9,221,0x0DD,228,0x0E4,336,0x150,195,0x0C3
MOB_DROP_PICKUP_REQUEST,CMob::SendDropPickUpRequest,,0x000,190,0x0BE,202,0x0CA,222,0x0DE,229,0x0E5,337,0x151,196,0x0C4
FIELD_DAMAGE_MOB,CMob::Update,,0x000,191,0x0BF,203,0x0CB,223,0x0DF,230,0x0E6,338,0x152,197,0x0C5
MOB_DAMAGE_MOB_FRIENDLY,CMob::Update,,0x000,192,0x0C0,204,0x0CC,224,0x0E0,231,0x0E7,339,0x153,198,0x0C6
MONSTER_BOMB,CMob::TryFirstSelfDestruction,,0x000,193,0x0C1,205,0x0CD,225,0x0E1,232,0x0E8,340,0x154,199,0x0C7
MOB_DAMAGE_MOB,CMob::SetDamagedByMob,,0x000,194,0x0C2,206,0x0CE,226,0x0E2,233,0x0E9,,0x000,200,0x0C8
MOB_SKILL_DELAY_END,CMob::Update,,0x000,195,0x0C3,207,0x0CF,227,0x0E3,234,0x0EA,,0x000,201,0x0C9
MOB_TIME_BOMB_END,CMob::UpdateTimeBomb,,0x000,196,0x0C4,208,0x0D0,228,0x0E4,235,0x0EB,,0x000,202,0x0CA
MOB_ESCORT_COLLISION,CMob::SendCollisionEscort,,0x000,,0x000,209,0x0D1,229,0x0E5,236,0x0EC,,0x000,203,0x0CB
MOB_REQUEST_ESCORT_INFO,CMob::SendRequestEscortPath,,0x000,,0x000,,0x000,230,0x0E6,237,0x0ED,,0x000,204,0x0CC
MOB_ESCORT_STOP_END_REQUEST,CMob::SendEscortStopEndRequest,,0x000,,0x000,,0x000,231,0x0E7,238,0x0EE,,0x000,205,0x0CD
n/a,n/a,,0x000,,0x000,,0x000,232,0x0E8,239,0x0EF,,0x000,206,0x0CE
n/a,n/a,,0x000,,0x000,,0x000,233,0x0E9,240,0x0F0,,0x000,207,0x0CF
,,,0x000,,0x000,,0x000,,0x000,,0x000,,0x000,,0x000
,,,0x000,,0x000,,0x000,,0x000,,0x000,,0x000,,0x000
NPC_ACTION,CNpc::GenerateMovePath,93,0x05D,197,0x0C5,210,0x0D2,234,0x0EA,241,0x0F1,351,0x15F,208,0x0D0
NPC_SPECIAL_ACTION,CNpc::RequestSpecialAction,,0x000,198,0x0C6,211,0x0D3,235,0x0EB,242,0x0F2,352,0x160,209,0x0D1
n/a,n/a,,0x000,199,0x0C7,212,0x0D4,236,0x0EC,243,0x0F3,353,0x161,210,0x0D2
n/a,n/a,,0x000,200,0x0C8,213,0x0D5,237,0x0ED,244,0x0F4,354,0x162,211,0x0D3
n/a,n/a,,0x000,201,0x0C9,214,0x0D6,238,0x0EE,245,0x0F5,355,0x163,212,0x0D4
ITEM_PICKUP,CWvsContext::SendDropPickUpRequest,97,0x061,202,0x0CA,215,0x0D7,239,0x0EF,246,0x0F6,356,0x164,213,0x0D5
n/a,n/a,,0x000,203,0x0CB,216,0x0D8,240,0x0F0,247,0x0F7,357,0x165,214,0x0D6
n/a,n/a,,0x000,204,0x0CC,217,0x0D9,241,0x0F1,248,0x0F8,358,0x166,215,0x0D7
DAMAGE_REACTOR,"CReactorPool::FindHitReactor
CReactorPool::FindSkillReactor",100,0x064,205,0x0CD,218,0x0DA,242,0x0F2,249,0x0F9,359,0x167,216,0x0D8
,,,0x000,,0x000,,0x000,,0x000,,0x000,360,0x168,,0x000
TOUCHING_REACTOR,CReactorPool::FindTouchReactorAroundLocalUser,,0x000,206,0x0CE,219,0x0DB,243,0x0F3,250,0x0FA,361,0x169,217,0x0D9
,,,0x000,,0x000,,0x000,,0x000,,0x000,362,0x16A,,0x000
PLAYER_MAP_TRANSFER,CUserLocal::ResetNLCPQ,,0x000,207,0x0CF,220,0x0DC,244,0x0F4,251,0x0FB,363,0x16B,218,0x0DA
n/a,n/a,,0x000,208,0x0D0,221,0x0DD,245,0x0F5,252,0x0FC,,0x000,219,0x0DB
n/a,n/a,,0x000,209,0x0D1,222,0x0DE,246,0x0F6,253,0x0FD,,0x000,220,0x0DC
n/a,n/a,,0x000,210,0x0D2,223,0x0DF,247,0x0F7,254,0x0FE,,0x000,221,0x0DD
SNOWBALL,CField_SnowBall::BasicActionAttack,105,0x069,211,0x0D3,224,0x0E0,248,0x0F8,255,0x0FF,,0x000,222,0x0DE
LEFT_KNOCKBACK,CField_SnowBall::Update,,0x000,212,0x0D4,225,0x0E1,249,0x0F9,256,0x100,,0x000,223,0x0DF
